,Zipcode,period_end,inventory
253,98126,2020-12-31,55.666666666666664
254,98126,2021-12-31,34.166666666666664
255,98126,2022-12-31,28.416666666666668
256,98126,2023-12-31,27.916666666666668
257,98126,2024-12-31,23.5
258,98133,2012-12-31,91.1
259,98133,2013-12-31,93.0
260,98133,2014-12-31,95.08333333333333
261,98133,2015-12-31,59.5
262,98133,2016-12-31,44.0
263,98133,2017-12-31,35.25
264,98133,2018-12-31,73.33333333333333
265,98133,2019-12-31,91.25
266,98133,2020-12-31,62.333333333333336
267,98133,2021-12-31,50.416666666666664
268,98133,2022-12-31,75.25
269,98133,2023-12-31,69.0
270,98133,2024-12-31,48.5
271,98134,2012-12-31,2.5
272,98134,2013-12-31,2.0
273,98134,2014-12-31,1.5
274,98134,2015-12-31,1.0
275,98134,2016-12-31,2.0
276,98134,2017-12-31,1.375
277,98134,2018-12-31,1.5
278,98134,2019-12-31,1.0
279,98134,2020-12-31,
280,98134,2021-12-31,1.25
281,98134,2022-12-31,2.2
282,98134,2023-12-31,1.1
283,98136,2012-12-31,48.2
284,98136,2013-12-31,38.75
285,98136,2014-12-31,35.666666666666664
286,98136,2015-12-31,26.833333333333332
287,98136,2016-12-31,21.75
288,98136,2017-12-31,18.583333333333332
289,98136,2018-12-31,33.916666666666664
290,98136,2019-12-31,36.916666666666664
291,98136,2020-12-31,33.166666666666664
292,98136,2021-12-31,18.5
293,98136,2022-12-31,22.0
294,98136,2023-12-31,17.916666666666668
295,98136,2024-12-31,15.5
296,98144,2012-12-31,89.0
297,98144,2013-12-31,79.66666666666667
298,98144,2014-12-31,57.5
299,98144,2015-12-31,39.833333333333336
300,98144,2016-12-31,45.666666666666664
301,98144,2017-12-31,42.166666666666664
302,98144,2018-12-31,51.666666666666664
303,98144,2019-12-31,75.66666666666667
304,98144,2020-12-31,64.5
305,98144,2021-12-31,49.25
306,98144,2022-12-31,64.25
307,98144,2023-12-31,68.66666666666667
308,98144,2024-12-31,52.0
309,98146,2012-12-31,80.8
310,98146,2013-12-31,78.83333333333333
311,98146,2014-12-31,74.75
312,98146,2015-12-31,51.416666666666664
313,98146,2016-12-31,42.666666666666664
314,98146,2017-12-31,31.333333333333332
315,98146,2018-12-31,43.083333333333336
316,98146,2019-12-31,49.416666666666664
317,98146,2020-12-31,36.5
318,98146,2021-12-31,20.25
319,98146,2022-12-31,30.416666666666668
320,98146,2023-12-31,22.333333333333332
321,98146,2024-12-31,14.5
322,98175,2012-12-31,1.3333333333333333
323,98175,2013-12-31,
324,98175,2014-12-31,
325,98175,2015-12-31,
326,98175,2016-12-31,
327,98175,2017-12-31,
328,98175,2018-12-31,1.0
329,98175,2019-12-31,1.0
330,98175,2020-12-31,
331,98175,2021-12-31,1.0
332,98175,2022-12-31,
333,98175,2023-12-31,
334,98175,2024-12-31,
335,98177,2012-12-31,68.9
336,98177,2013-12-31,47.5
337,98177,2014-12-31,47.75
338,98177,2015-12-31,35.5
339,98177,2016-12-31,33.083333333333336
340,98177,2017-12-31,26.25
341,98177,2018-12-31,35.25
342,98177,2019-12-31,48.666666666666664
343,98177,2020-12-31,20.833333333333332
344,98177,2021-12-31,14.090909090909092
345,98177,2022-12-31,21.166666666666668
346,98177,2023-12-31,20.0
347,98177,2024-12-31,11.0
348,98178,2012-12-31,90.2
