,Zipcode,period_end,inventory
222,98102,2018-09-30,67.0
223,98102,2018-10-31,70.0
224,98102,2018-11-30,58.0
225,98102,2018-12-31,45.0
226,98102,2019-01-31,49.0
227,98102,2019-02-28,56.0
228,98102,2019-03-31,68.0
229,98102,2019-04-30,77.0
230,98102,2019-05-31,97.0
231,98102,2019-06-30,99.0
232,98102,2019-07-31,97.0
233,98102,2019-08-31,83.0
234,98102,2019-09-30,82.0
235,98102,2019-10-31,80.0
236,98102,2019-11-30,61.0
237,98102,2019-12-31,53.0
238,98102,2020-01-31,45.0
239,98102,2020-02-29,45.0
240,98102,2020-03-31,61.0
241,98102,2020-04-30,61.0
242,98102,2020-05-31,70.0
243,98102,2020-06-30,73.0
244,98102,2020-07-31,86.0
245,98102,2020-08-31,107.0
246,98102,2020-09-30,120.0
247,98102,2020-10-31,121.0
248,98102,2020-11-30,100.0
249,98102,2020-12-31,66.0
250,98102,2021-01-31,67.0
251,98102,2021-02-28,74.0
252,98102,2021-03-31,90.0
253,98102,2021-04-30,95.0
254,98102,2021-05-31,96.0
255,98102,2021-06-30,91.0
256,98102,2021-07-31,83.0
257,98102,2021-08-31,61.0
258,98102,2021-09-30,70.0
259,98102,2021-10-31,54.0
260,98102,2021-11-30,31.0
261,98102,2021-12-31,21.0
262,98102,2022-01-31,21.0
263,98102,2022-02-28,29.0
264,98102,2022-03-31,31.0
265,98102,2022-04-30,36.0
266,98102,2022-05-31,48.0
267,98102,2022-06-30,67.0
268,98102,2022-07-31,62.0
269,98102,2022-08-31,58.0
270,98102,2022-09-30,54.0
271,98102,2022-10-31,44.0
272,98102,2022-11-30,42.0
273,98102,2022-12-31,33.0
358,98103,2018-01-31,24.0
359,98103,2018-02-28,25.0
360,98103,2018-03-31,31.0
361,98103,2018-04-30,38.0
362,98103,2018-05-31,63.0
363,98103,2018-06-30,68.0
364,98103,2018-07-31,86.0
365,98103,2018-08-31,86.0
366,98103,2018-09-30,132.0
367,98103,2018-10-31,136.0
368,98103,2018-11-30,111.0
369,98103,2018-12-31,83.0
370,98103,2019-01-31,85.0
371,98103,2019-02-28,87.0
372,98103,2019-03-31,86.0
373,98103,2019-04-30,101.0
374,98103,2019-05-31,116.0
375,98103,2019-06-30,132.0
376,98103,2019-07-31,105.0
377,98103,2019-08-31,107.0
378,98103,2019-09-30,134.0
379,98103,2019-10-31,113.0
380,98103,2019-11-30,76.0
381,98103,2019-12-31,51.0
382,98103,2020-01-31,49.0
383,98103,2020-02-29,58.0
384,98103,2020-03-31,72.0
385,98103,2020-04-30,74.0
386,98103,2020-05-31,77.0
387,98103,2020-06-30,89.0
388,98103,2020-07-31,102.0
389,98103,2020-08-31,110.0
390,98103,2020-09-30,140.0
391,98103,2020-10-31,127.0
392,98103,2020-11-30,95.0
393,98103,2020-12-31,61.0
394,98103,2021-01-31,63.0
395,98103,2021-02-28,51.0
396,98103,2021-03-31,59.0
397,98103,2021-04-30,64.0
398,98103,2021-05-31,57.0
399,98103,2021-06-30,67.0
400,98103,2021-07-31,76.0
401,98103,2021-08-31,71.0
402,98103,2021-09-30,75.0
403,98103,2021-10-31,73.0
404,98103,2021-11-30,35.0
405,98103,2021-12-31,25.0
406,98103,2022-01-31,14.0
407,98103,2022-02-28,29.0
408,98103,2022-03-31,42.0
409,98103,2022-04-30,41.0
410,98103,2022-05-31,50.0
411,98103,2022-06-30,88.0
